"sedlns14";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:DA:DF";"8";"10.183.23.143";"255.255.255.0";"";"";"False";;;
"sedlns14";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:41:C3";"18";"164.4.31.110";"255.255.254.0,255.255.254.0";"164.4.30.2";"164.4.30.177,164.4.30.117";"False";;;
"sedlns22";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:5E:C4";"8";"10.180.207.146";"255.255.255.0";"";"";"False";;;
"sedlns22";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:24:EB";"18";"164.4.30.19";"255.255.254.0";"164.4.30.2";"164.4.30.177,164.4.30.117";"False";;;
"sedlns23";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:3B:95";"20";"138.103.86.39";"255.255.255.0";"138.103.86.1";"164.4.30.177,164.4.39.117";"False";;;
"sedlns23";"Back up";"Intel(R) 82574L Gigabit Network Connection #3";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:36:5E";"2";"10.183.25.104";"255.255.255.0";"";"";"False";;;
"sedlns23";"Domino replication";"Intel(R) 82574L Gigabit Network Connection #4";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:55:5E";"9";"10.12.4.26";"255.255.255.0";"";"";"False";;;
"sedlns28";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:3E:C4";"8";"10.183.18.217";"255.255.255.0";"";"";"False";;;
"sedlns28";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:66:FF";"18";"164.4.30.29";"255.255.254.0";"164.4.30.2";"164.4.30.9,164.4.51.15";"False";;;
"sedlns33";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:77:AD";"8";"10.183.25.45";"255.255.255.0";"";"";"False";;;
"sedlns33";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:22:0E";"18";"164.4.30.88";"255.255.254.0,255.255.254.0";"164.4.30.2";"164.4.30.177,164.4.30.117";"False";;;
"sedlns40";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:CA:8E";"8";"10.183.19.73";"255.255.255.0";"";"";"False";;;
"sedlns40";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:D2:F2";"18";"164.4.30.51";"255.255.254.0";"164.4.30.2";"164.4.30.9,164.4.51.15";"False";;;
"sedlns53";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:F3:88";"8";"10.183.18.219";"255.255.255.0";"";"";"False";;;
"sedlns53";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:26:1B";"18";"164.4.31.149";"255.255.254.0";"164.4.30.2";"164.4.30.177,164.4.30.117";"False";;;
"sedlns57";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:4D:23";"8";"10.183.23.140";"255.255.255.0";"";"";"False";;;
"sedlns57";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:CC:AD";"18";"164.4.32.64";"255.255.254.0";"164.4.32.2";"164.4.30.177,164.4.30.117";"False";;;
"sedlns70";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:72:C8";"8";"10.183.22.88";"255.255.255.0";"";"";"False";;;
"sedlns70";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:DD:2A";"18";"164.4.33.179";"255.255.254.0";"164.4.32.2";"164.4.30.9,164.4.162.10";"False";;;
"sedlns90";"Ethernet0 2";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:72:A6";"18";"164.4.30.141";"255.255.254.0";"164.4.30.2";"164.4.30.9,164.4.30.177";"False";;;
"sedlns90";"Ethernet1 2";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:23:D7";"2";"169.254.24.0";"255.255.0.0";"";"";"True";;;"255.255.255.255"
"sedlns94";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:AB:25:87";"7";"164.4.30.223";"255.255.254.0";"164.4.30.2";"164.4.30.117,164.4.30.177";"False";;;
"sedlns94";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:AB:8A:EF";"6";"10.183.25.103";"255.255.255.0";"";"";"False";;;
"sedlns97";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:04:0C";"8";"10.183.19.76";"255.255.255.0";"";"";"False";;;
"sedlns97";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:24:01";"18";"164.4.32.49";"255.255.254.0";"164.4.32.2";"164.4.30.177,164.4.30.117";"False";;;
"sedlns98";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:D4:8B";"16";"164.4.32.104";"255.255.254.0";"164.4.32.2";"164.4.30.9,164.4.30.177";"False";;;
"sedlns98";"Ethernet1";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:83:86";"9";"169.254.42.1";"255.255.0.0";"";"";"True";;;"255.255.255.255"
"sednt1065";"HeartBeat NIC";"Intel(R) Ethernet Network Adapter X710-T4L for OCP 3.0";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:72:E1:38";"15";"10.40.3.102";"255.255.255.0";"";"";"False";;;
"sednt1065";"Production";"Microsoft Network Adapter Multiplexor Driver";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:72:E1:39";"12";"164.4.173.106";"255.255.254.0,255.255.254.0";"164.4.172.2";"164.4.30.177,164.4.30.117";"False";;;
"sednt1065";"Ethernet 3";"IBM USB Remote NDIS Network Device";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"3A:7C:76:72:63:96";"9";"169.254.95.120";"255.255.255.0";"";"";"True";;;"169.254.95.118"
"sednt1065";;"Microsoft Failover Cluster Virtual Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"02:75:C1:14:46:EE";"24";"169.254.2.106";"255.255.0.0";"";"";"False";;;
"sednt1066";"HeartBeat NIC";"Intel(R) Ethernet Network Adapter X710-T4L for OCP 3.0";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:72:E1:E8";"4";"10.40.3.104";"255.255.255.0";"";"";"False";;;
"sednt1066";"Production";"Microsoft Network Adapter Multiplexor Driver";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:72:E1:EA";"18";"164.4.173.162";"255.255.254.0,255.255.254.0,255.255.254.0";"164.4.172.2";"164.4.30.177,164.4.30.117";"False";;;
"sednt1066";;"Microsoft Failover Cluster Virtual Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"02:D1:5B:15:06:83";"22";"169.254.3.167";"255.255.0.0";"";"";"False";;;
"MachineName";"InterfaceName";"Description";"DNSDomainSuffixSearchOrder";"MACAddress";"InterfaceIndex";"IPAddress";"IPSubnet";"DefaultIPGateway";"DNSServerSearchOrder";"DHCPEnabled";"DHCPLeaseExpires";"DHCPLeaseObtained";"DHCPServer"
"sednt1066";"HeartBeat NIC";"Intel(R) Ethernet Network Adapter X710-T4L for OCP 3.0";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:72:E1:E8";"4";"10.40.3.104";"255.255.255.0";"";"";"False";;;
"sednt1066";"Production";"Microsoft Network Adapter Multiplexor Driver";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:72:E1:EA";"18";"164.4.173.162";"255.255.254.0,255.255.254.0,255.255.254.0";"164.4.172.2";"164.4.30.177,164.4.30.117";"False";;;
"sednt1066";;"Microsoft Failover Cluster Virtual Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"02:D1:5B:15:06:83";"22";"169.254.3.167";"255.255.0.0";"";"";"False";;;
"MachineName";"InterfaceName";"Description";"DNSDomainSuffixSearchOrder";"MACAddress";"InterfaceIndex";"IPAddress";"IPSubnet";"DefaultIPGateway";"DNSServerSearchOrder";"DHCPEnabled";"DHCPLeaseExpires";"DHCPLeaseObtained";"DHCPServer"
"sednt1066";"HeartBeat NIC";"Intel(R) Ethernet Network Adapter X710-T4L for OCP 3.0";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:72:E1:E8";"4";"10.40.3.104";"255.255.255.0";"";"";"False";;;
"sednt1066";"Production";"Microsoft Network Adapter Multiplexor Driver";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:72:E1:EA";"18";"164.4.173.162";"255.255.254.0,255.255.254.0,255.255.254.0";"164.4.172.2";"164.4.30.177,164.4.30.117";"False";;;
"sednt1066";;"Microsoft Failover Cluster Virtual Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"02:D1:5B:15:06:83";"22";"169.254.3.167";"255.255.0.0";"";"";"False";;;
"sednt1067";"HearBeat NIC";"Intel(R) Ethernet Network Adapter X710-T4L for OCP 3.0";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:72:E1:80";"23";"10.40.3.103";"255.255.255.0";"";"";"False";;;
"sednt1067";"Production";"Microsoft Network Adapter Multiplexor Driver";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:72:E1:82";"21";"164.4.173.104";"255.255.254.0";"164.4.172.2";"164.4.30.177,164.4.30.117";"False";;;
"sednt1067";;"Microsoft Failover Cluster Virtual Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"02:D3:AD:5E:2D:9D";"24";"169.254.4.149";"255.255.0.0";"";"";"False";;;
"sednt1068";"HeartBeat NIC";"Intel(R) Ethernet Network Adapter X710-T4L for OCP 3.0";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:73:09:9C";"19";"10.40.3.105";"255.255.255.0";"";"";"False";;;
"sednt1068";"Production";"Microsoft Network Adapter Multiplexor Driver";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"6C:FE:54:73:09:9D";"23";"164.4.172.25";"255.255.254.0";"164.4.172.2";"164.4.30.177,164.4.30.117";"False";;;
"sednt1068";;"Microsoft Failover Cluster Virtual Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"02:E9:B6:0F:1D:C2";"18";"169.254.1.172";"255.255.0.0";"";"";"False";;;
"sednt1301";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:87:6C:C0";"3";"164.4.32.190";"255.255.254.0";"164.4.32.2";"164.4.30.117,164.4.30.177";"False";;;
"sednt1301";"Ethernet1";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:87:6C:93";"5";"10.180.206.225";"255.255.255.0";"";"";"False";;;
"sednt1357";"Ethernet6";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:AB:86:95";"5";"138.103.144.172";"255.255.252.0";"138.103.144.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt1656";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:97:0D:79";"9";"10.183.23.237";"255.255.255.0";"";"";"False";;;
"sednt1656";"Heartbeat";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:19:25";"17";"10.12.2.134";"255.255.255.0";"";"";"False";;;
"sednt1656";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:97:33:AC";"5";"164.4.67.64";"255.255.254.0";"164.4.66.1";"164.4.30.9,164.4.51.15";"False";;;
"sednt1656";;"Microsoft Failover Cluster Virtual Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"02:ED:61:14:83:B5";"13";"169.254.2.94";"255.255.0.0";"";"";"False";;;
"sednt1657";"Ethernet1";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:97:DB:D7";"9";"10.183.23.238";"255.255.255.0";"";"";"False";;;
"sednt1657";"Ethernet0";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:97:F6:08";"4";"164.4.67.67";"255.255.254.0,255.255.254.0";"164.4.66.1";"164.4.30.9,164.4.51.15";"False";;;
"sednt1657";;"Microsoft Failover Cluster Virtual Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"02:DF:8E:4C:29:A5";"3";"169.254.1.231";"255.255.0.0";"";"";"False";;;
"sednt1657";"Ethernet2";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:B6:DA";"6";"10.12.2.135";"255.255.255.0";"";"";"False";;;
"sednt1711";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:99:00:E4";"3";"164.4.67.121";"255.255.254.0";"164.4.66.1";"164.4.30.177,164.4.30.117";"False";;;
"sednt1711";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:87:5E:79";"8";"10.183.19.156";"255.255.255.0";"";"";"False";;;
"sednt1806";"Ethernet1";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:3D:83";"4";"10.183.19.159";"255.255.255.0";"";"";"False";;;
"sednt1806";"Ethernet0";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:67:3A";"8";"164.4.67.216";"255.255.254.0";"164.4.66.1";"164.4.30.177,164.4.30.117";"False";;;
"sednt1866";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:99:2D:6D";"7";"164.4.184.18";"255.255.254.0";"164.4.184.1";"164.4.30.177,164.4.30.117";"False";;;
"sednt1866";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:97:37:29";"4";"10.183.25.101";"255.255.255.0";"";"";"False";;;
"sednt2120";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:99:59:B2";"9";"164.4.184.216";"255.255.254.0";"164.4.184.1";"164.4.30.177,164.4.30.117";"False";;;
"sednt2120";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:87:39:4E";"15";"10.183.20.117";"255.255.255.0";"";"";"False";;;
"sednt2278";"Local Area Connection";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:96:32:54";"6";"164.4.41.102";"255.255.255.0";"164.4.41.1";"164.4.30.177,164.4.30.117";"False";;;
"sednt2337";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:1E:EA";"4";"138.103.86.67";"255.255.255.0";"138.103.86.1";"164.4.30.177,164.4.30.117";"False";;;
"sednt2337";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:15:1A";"6";"10.180.206.29";"255.255.255.0";"";"";"False";;;
"sednt2338";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:70:FA";"3";"138.103.86.68";"255.255.255.0";"138.103.86.1";"164.4.30.177,164.4.30.117";"False";;;
"sednt2338";"Ethernet1";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:28:19";"2";"10.180.206.30";"255.255.255.0";"";"";"False";;;
"sednt2419";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:87:51:B5";"2";"10.180.206.133";"255.255.255.0";"";"";"False";;;
"sednt2419";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:40:BF";"3";"138.103.86.101";"255.255.255.0";"138.103.86.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt2420";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:37:15";"3";"138.103.86.102";"255.255.255.0";"138.103.86.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt2421";"Prod";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com";"00:50:56:87:3E:2F";"14";"138.103.86.103";"255.255.255.0";"138.103.86.1";"164.4.10.9,164.4.30.9";"False";;;
"sednt2430";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:8A:06:24";"7";"10.180.206.148";"255.255.255.0";"";"";"False";;;
"sednt2430";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:1A:5B";"6";"138.103.86.112";"255.255.255.0";"138.103.86.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt2444";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:17:BC";"3";"138.103.86.126";"255.255.255.0";"138.103.86.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt2444";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:87:29:DE";"2";"10.180.206.175";"255.255.255.0";"";"";"False";;;
"sednt2466";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:74:82";"4";"10.183.19.96";"255.255.255.0";"";"";"False";;;
"sednt2466";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:77:B9";"5";"138.103.86.159";"255.255.255.0";"138.103.86.1";"164.4.30.177,164.4.30.117";"False";;;
"sednt2467";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:51:87";"3";"10.180.207.207";"255.255.255.0";"";"";"False";;;
"sednt2467";"Prod";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:87:46:0F";"4";"138.103.86.160";"255.255.255.0";"138.103.86.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt2468";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:00:D9";"5";"10.180.207.208";"255.255.255.0";"";"";"False";;;
"sednt2468";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:87:66:CC";"4";"138.103.86.161";"255.255.255.0";"138.103.86.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt2469";"Ethernet1";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:24:0D";"2";"10.180.207.209";"255.255.255.0";"";"";"False";;;
"sednt2469";"Ethernet0";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:5D:8E";"5";"138.103.86.162";"255.255.255.0";"138.103.86.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt2490";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:59:AC";"3";"138.103.86.183";"255.255.255.0";"138.103.86.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt2490";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:87:65:B9";"2";"10.180.207.84";"255.255.255.0";"";"";"False";;;
"sednt2567";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:7F:3D";"12";"164.4.86.61";"255.255.255.0";"164.4.86.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt2567";"Ethernet1";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:87:70:A9";"13";"10.183.17.63";"255.255.255.0";"";"";"False";;;
"sednt2617";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:77:85";"3";"164.4.86.102";"255.255.255.0";"164.4.86.1";"164.4.30.9,138.103.131.152,164.4.130.177";"False";;;
"sednt2617";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:87:0C:4C";"2";"10.180.206.116";"255.255.255.0";"";"";"False";;;
"sednt2867";"Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:87:47:A7";"4";"10.183.21.165";"255.255.255.0";"";"";"False";;;
"sednt2867";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:87:0F:D1";"7";"164.4.87.79";"255.255.255.0";"164.4.87.1";"164.4.30.117,164.4.30.177";"False";;;
"sednt489";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:97:24:30";"3";"10.183.19.169";"255.255.255.0";"";"";"False";;;
"sednt489";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:97:5B:3F";"13";"164.4.32.212";"255.255.254.0";"164.4.32.2";"164.4.30.9,164.4.51.15";"False";;;
"seint1067";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:13:D5";"8";"138.103.186.134";"255.255.255.0";"138.103.186.1";"164.4.30.177,164.4.30.117";"False";;;
"seint1067";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:42:51";"4";"10.183.25.187";"255.255.255.0";"";"";"False";;;
"seint1068";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:00:1A";"15";"138.103.186.135";"255.255.255.0";"138.103.186.1";"164.4.30.177,164.4.30.117";"False";;;
"seint1068";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:39:70";"5";"10.183.25.188";"255.255.255.0";"";"";"False";;;
"seint1162";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:6A:67";"5";"138.103.89.84";"255.255.255.0";"138.103.89.1";"164.4.30.177,164.4.30.117";"False";;;
"seint1163";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:24:FD";"5";"138.103.89.86";"255.255.255.0";"138.103.89.1";"164.4.30.177,164.4.30.117";"False";;;
"seint1176";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:5C:0E";"5";"164.4.87.238";"255.255.255.0";"164.4.87.1";"164.4.30.177,164.4.30.117";"False";;;
"seint1176";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:05:AA";"2";"10.183.23.56";"255.255.255.0";"";"";"False";;;
"seint1182";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:63:E6";"2";"10.183.23.62";"255.255.255.0";"";"";"False";;;
"seint1182";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:39:2D";"5";"138.103.86.201";"255.255.255.0";"138.103.86.1";"164.4.30.177,164.4.30.117";"False";;;
"seint1183";"Back-up";"vmxnet3 Ethernet Adapter #4";"win.dom.sandvik.com";"00:50:56:97:73:E6";"7";"10.183.23.63";"255.255.255.0";"";"";"False";;;
"seint1183";"Production";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com";"00:50:56:97:10:2C";"16";"138.103.86.209";"255.255.255.0";"138.103.86.1";"164.4.30.177,164.4.30.117";"False";;;
"seint1215";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:7E:66";"4";"10.183.23.107";"255.255.255.0";"";"";"False";;;
"seint1215";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:5A:28";"17";"164.4.33.205";"255.255.254.0";"164.4.32.2";"164.4.30.177,164.4.30.117";"False";;;
"seint1219";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:02:7D";"7";"164.4.32.132";"255.255.254.0";"164.4.32.2";"164.4.30.177,164.4.30.117";"False";;;
"seint1219";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:43:88";"8";"10.183.23.111";"255.255.255.0";"";"";"False";;;
"seint1220";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:2D:A2";"17";"10.183.23.112";"255.255.255.0";"";"";"False";;;
"seint1220";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:5A:83";"16";"164.4.32.133";"255.255.254.0";"164.4.32.2";"164.4.30.177,164.4.30.117";"False";;;
"seint1221";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:66:6A";"15";"10.183.23.113";"255.255.255.0";"";"";"False";;;
"seint1221";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:7D:25";"18";"164.4.32.134";"255.255.254.0";"164.4.32.2";"164.4.30.177,164.4.30.117";"False";;;
"seint1230";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:59:0A";"8";"10.183.23.122";"255.255.255.0";"";"";"False";;;
"seint1230";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:2A:6F";"7";"164.4.32.154";"255.255.254.0";"164.4.32.2";"164.4.30.177,164.4.30.117";"False";;;
"seint1233";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:78:A2";"8";"164.4.32.157";"255.255.254.0";"164.4.32.2";"164.4.30.177,164.4.30.117";"False";;;
"seint1233";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:71:0B";"4";"10.183.23.124";"255.255.255.0";"";"";"False";;;
"seint1234";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:97:41:6C";"8";"164.4.32.158";"255.255.254.0";"164.4.32.2";"164.4.30.177,164.4.30.117";"False";;;
"seint1234";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:1F:64";"3";"10.183.23.125";"255.255.255.0";"";"";"False";;;
"seint1237";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com";"00:50:56:97:32:60";"4";"10.183.23.128";"255.255.255.0";"";"";"False";;;
